GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HC01,HC02,HC04,HC05,HC06,HC08,HC09
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographical Area,Geographical Area,Population,Housing  units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing  units
0100000US,,United States,0100000US,,United States,United States,281421906,115904641,3794083.06,256644.62,3537438.44,79.6,32.8
0100000US,,United States,0400000US01,01,United States - Alabama,Alabama,4447100,1963711,52419.02,1675.01,50744.00,87.6,38.7
0100000US,,United States,0400000US02,02,United States - Alaska,Alaska,626932,260978,663267.26,91316.00,571951.26,1.1,0.5
0100000US,,United States,0400000US04,04,United States - Arizona,Arizona,5130632,2189189,113998.30,363.73,113634.57,45.2,19.3
0100000US,,United States,0400000US05,05,United States - Arkansas,Arkansas,2673400,1173043,53178.62,1110.45,52068.17,51.3,22.5
0100000US,,United States,0400000US06,06,United States - California,California,33871648,12214549,163695.57,7736.23,155959.34,217.2,78.3
0100000US,,United States,0400000US08,08,United States - Colorado,Colorado,4301261,1808037,104093.57,376.04,103717.53,41.5,17.4
0100000US,,United States,0400000US09,09,United States - Connecticut,Connecticut,3405565,1385975,5543.33,698.53,4844.80,702.9,286.1
0100000US,,United States,0400000US10,10,United States - Delaware,Delaware,783600,343072,2489.27,535.71,1953.56,401.1,175.6
0100000US,,United States,0400000US11,11,United States - District of Columbia,District of Columbia,572059,274845,68.34,6.94,61.40,9316.4,4476.1
0100000US,,United States,0400000US12,12,United States - Florida,Florida,15982378,7302947,65754.59,11827.77,53926.82,296.4,135.4
0100000US,,United States,0400000US13,13,United States - Georgia,Georgia,8186453,3281737,59424.77,1518.63,57906.14,141.4,56.7
0100000US,,United States,0400000US15,15,United States - Hawaii,Hawaii,1211537,460542,10930.98,4508.36,6422.62,188.6,71.7
0100000US,,United States,0400000US16,16,United States - Idaho,Idaho,1293953,527824,83570.08,822.87,82747.21,15.6,6.4
0100000US,,United States,0400000US17,17,United States - Illinois,Illinois,12419293,4885615,57914.38,2330.79,55583.58,223.4,87.9
0100000US,,United States,0400000US18,18,United States - Indiana,Indiana,6080485,2532319,36417.73,550.83,35866.90,169.5,70.6
0100000US,,United States,0400000US19,19,United States - Iowa,Iowa,2926324,1232511,56271.55,402.20,55869.36,52.4,22.1
0100000US,,United States,0400000US20,20,United States - Kansas,Kansas,2688418,1131200,82276.84,461.96,81814.88,32.9,13.8
0100000US,,United States,0400000US21,21,United States - Kentucky,Kentucky,4041769,1750927,40409.02,680.85,39728.18,101.7,44.1
0100000US,,United States,0400000US22,22,United States - Louisiana,Louisiana,4468976,1847181,51839.70,8277.85,43561.85,102.6,42.4
0100000US,,United States,0400000US23,23,United States - Maine,Maine,1274923,651901,35384.65,4523.10,30861.55,41.3,21.1
0100000US,,United States,0400000US24,24,United States - Maryland,Maryland,5296486,2145283,12406.68,2632.86,9773.82,541.9,219.5
0100000US,,United States,0400000US25,25,United States - Massachusetts,Massachusetts,6349097,2621989,10554.57,2714.55,7840.02,809.8,334.4
0100000US,,United States,0400000US26,26,United States - Michigan,Michigan,9938444,4234279,96716.11,39912.28,56803.82,175.0,74.5
0100000US,,United States,0400000US27,27,United States - Minnesota,Minnesota,4919479,2065946,86938.87,7328.79,79610.08,61.8,26.0
0100000US,,United States,0400000US28,28,United States - Mississippi,Mississippi,2844658,1161953,48430.19,1523.24,46906.96,60.6,24.8
0100000US,,United States,0400000US29,29,United States - Missouri,Missouri,5595211,2442017,69704.31,818.39,68885.93,81.2,35.5
0100000US,,United States,0400000US30,30,United States - Montana,Montana,902195,412633,147042.40,1489.96,145552.43,6.2,2.8
0100000US,,United States,0400000US31,31,United States - Nebraska,Nebraska,1711263,722668,77353.73,481.31,76872.41,22.3,9.4
0100000US,,United States,0400000US32,32,United States - Nevada,Nevada,1998257,827457,110560.71,734.71,109825.99,18.2,7.5
0100000US,,United States,0400000US33,33,United States - New Hampshire,New Hampshire,1235786,547024,9349.94,381.84,8968.10,137.8,61.0
0100000US,,United States,0400000US34,34,United States - New Jersey,New Jersey,8414350,3310275,8721.30,1303.96,7417.34,1134.4,446.3
0100000US,,United States,0400000US35,35,United States - New Mexico,New Mexico,1819046,780579,121589.48,233.96,121355.53,15.0,6.4
0100000US,,United States,0400000US36,36,United States - New York,New York,18976457,7679307,54556.00,7342.22,47213.79,401.9,162.6
0100000US,,United States,0400000US37,37,United States - North Carolina,North Carolina,8049313,3523944,53818.51,5107.63,48710.88,165.2,72.3
