"","census_tract","corr"
"1","B01001_002",1
"646","B05003_002",1
"1227","B06003_002",1
"1515","B07003_002",0.995174383525275
"5044","B14002_002",0.985068338397635
"5092","B14003_002",0.985068338397635
"6668","B18101_002",0.970017212170547
"6706","B18102_002",0.970017212170547
"6744","B18103_002",0.970017212170547
"15680","B27001_002",0.970017212170547
"15736","B27002_002",0.970017212170547
"15792","B27003_002",0.970017212170547
"6782","B18104_002",0.934710128340264
"6814","B18105_002",0.934710128340264
"6846","B18106_002",0.934710128340264
"4595","B12001_002",0.875767375129788
"4613","B12002_002",0.875767375129788
"5148","B14004_002",0.875767375129788
"7312","B19325_002",0.875767375129788
"7479","B20005_002",0.865202920839529
"7777","B23001_002",0.865202920839529
"5246","B15001_002",0.856531678192044
"7581","B21001_004",0.856053425876337
"6878","B18107_002",0.822448262990015
"8164","B23022_002",0.798496356311747
"7583","B21001_006",0.785321218025423
"8703","B24080_002",0.687261453178098
"2140","B08006_018",0.678418095874481
"2178","B08007_006",0.678418095874481
"2192","B08008_006",0.678418095874481
"2193","B08008_007",0.678418095874481
"2206","B08009_006",0.678418095874481
"2207","B08009_007",0.678418095874481
"7412","B20001_002",0.672547036236239
"2230","B08011_016",0.665677801801198
"2272","B08012_014",0.665677801801198
"2179","B08007_007",0.66481272828774
"2306","B08014_008",0.653273004842234
"2180","B08007_008",0.645630219914404
"8160","B23018_002",0.639815422854825
"6282","B17017_050",0.625048973732835
"13085","B25106_041",0.619159832648799
"2238","B08011_024",0.611950184244585
"652","B05003_008",0.611327793431546
"13474","B25122_118",0.609557016306889
"3204","B08202_008",0.601530044108738
"4464","B11004_004",0.585107312653893
"2194","B08008_008",0.584358567177399
"2208","B08009_008",0.584358567177399
"5833","B16010_045",0.581296943833188
"13086","B25106_042",0.578491871059436
"15691","B27001_013",0.574298460977388
"7313","B19325_003",0.573755396878765
"7315","B19325_005",0.573755396878765
"15690","B27001_012",0.572610996183177
"15746","B27002_012",0.572610996183177
"15802","B27003_012",0.572610996183177
"7480","B20005_003",0.570339509192579
"7482","B20005_005",0.570339509192579
"8009","B23007_005",0.569479402335923
"4254","B09019_026",0.569040371597883
"8166","B23022_004",0.568332798287461
"4196","B09005_003",0.566570255702887
"4207","B09008_009",0.566570255702887
"8008","B23007_004",0.566187816652833
